,country,ccode,year,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,participants,protesteridentity,sources,notes,protesterdemands,stateresponses,countryCode,ccYear,urbanpop,gdpgrowth,inflation,gdppercap,salariedEmployment,vulnerableEmployment
28,Canada,20,2005,1,1,3.0,3.0,2005.0,3.0,4.0,2005.0,1.0,170000,college students,"1. quebec is shedding image as hotbed of political rest the new york times, april 3, 2005 sunday, section 1; column 1; foreign desk; pg. 16, 1026 words, by clifford krauss;",the scene on fashionable rue st. denis looked as if it came out of another era: hundreds of students staging a sit in in front of a liberal party office and blocking rush hour traffic on a tuesday afternoon. red and black banners flapped as fists pumped in the air. the police surrounded the students in their patrol cars. drivers appeared to patiently accept their inconvenience by not honking. people enjoying the dazzling spring afternoon at outdoor cafes clapped and joined in the chants of protest against cuts in student aid.,"political behavior, process",arrests,CAN,"CAN,2005",43.4114819078288,4.99586086930171,2.21355203439764,36382.5079164537,80.7900009155273,11.8099995777011
29,Canada,20,2005,1,2,10.0,9.0,2005.0,10.0,9.0,2005.0,0.0,300,unspecified,"1. protesters denounce use of sharia in family matters the times london , september 10, 2005, saturday, overseas news; 49, 147 words;","a proposal to allow canadians to use muslim religious law, or sharia, to settle family disputes has provoked protests near and far... homa arjomand, who organised a protest that attracted about 300 people in toronto, said: the rise of sharia in canada...is a threat. women s rights are not negotiable and we will not tolerate the interference of religion in our justice system. ontario has allowed catholic and jewish faith based tribunals to settle family law matters on a voluntary basis since 1991. the practice drew little attention until muslim leaders demanded the same rights. canadian politicians must decide whether to exclude one religion or to scrap the religion based family courts altogether.","political behavior, process",ignore,CAN,"CAN,2005",43.4114819078288,4.99586086930171,2.21355203439764,36382.5079164537,80.7900009155273,11.8099995777011
30,Canada,20,2006,1,1,21.0,2.0,2006.0,17.0,8.0,2006.0,1.0,200,mohawk indians,"1. world briefing americas: canada: police raid native protest the new york times, april 21, 2006 friday, section a; column 5; foreign desk; pg. 8, 92 words, by chris mason nyt 2. mohawks and others block trains in ontario to protest land use the new york times, april 22, 2006 saturday, section a; column 1; foreign desk; pg. 5, 497 words, by clifford krauss 3. 6 native nations, and none have a word for suburbia the new york times, august 17, 2006 thursday, section a; column 3; foreign desk; caledonia journal; pg. 4, 971 words, by christopher mason;","the police in southwestern ontario stormed a group of native canadian protesters to end a standoff that began feb. 28 over a land claim. the police detained 16 protesters but retreated when about 75 more people showed up in response to the raid. by midmorning, hundreds of people from as far away as manitoba arrived to bolster the protest, which has halted construction of a housing development. police action against native canadians has been a delicate issue in ontario since 1995, when a protester was killed by a police sniper.","police brutality-political behavior, process",crowd dispersal,CAN,"CAN,2006",43.6911300771658,4.16581762720676,2.00202539534156,40504.0607253203,81.3199996948242,11.5900002643466
31,Canada,20,2007,1,1,29.0,6.0,2007.0,29.0,6.0,2007.0,0.0,1000,native groups mohawk indians,"1. protests by native groups in canada close road and rail links the new york times, june 30, 2007 saturday correction appended, section a; column 0; foreign desk; pg. 5, 552 words, by ian austen;","canadian travelers faced road closings and rail shutdowns on friday as they set out for the canada day holiday weekend during nationwide protests by native groups against the conservative government over several recent disputes about land claims and financing...most demonstrations on friday, however, mirrored a peaceful march of about 1,000 people past the parliament buildings in ottawa that was led by phil fontaine, the national chief of the assembly of first nations, the main native group.","political behavior, process",ignore,CAN,"CAN,2007",44.0010854684808,6.86860885703047,2.13838399266843,44659.8951408034,80.8899993896484,12.0500000417233
32,Canada,20,2008,1,1,10.0,8.0,2008.0,10.0,8.0,2008.0,1.0,100,unspecified,"1. canada: rioting in montreal the new york times, august 12, 2008 tuesday, section a; column 0; foreign desk; world briefing the americas; pg. 8, 59 words, by ian austen;","three police officers were injured, one shot in the leg, during rioting in montreal that erupted late sunday in response to the killing of an 18 year old by the police the day before. a fire station, fire trucks, cars and about 20 shops were vandalized or set ablaze. an ambulance worker was also injured. about 500 riot police officers quelled the violence.",police brutality,crowd dispersal,CAN,"CAN,2008",44.2654397893977,1.00762269545756,2.37027067444294,46710.5055759013,80.7099990844727,12.1399997323752
33,Canada,20,2009,1,1,13.0,5.0,2009.0,13.0,5.0,2009.0,0.0,12000,tamil canadians,"1. the last stand of sri lanka s tamils in canada? christian science monitor, may 14, 2009, thursday, world; pg. 6, 983 words, susan bourette correspondent;",the protesters demanded that the canadian government apply pressure through sanctions on the sri lankan government to cease violence against tamil civilians.,"political behavior, process",ignore,CAN,"CAN,2009",44.5038113800647,-2.92840016684549,0.299466803009284,40876.3101540295,80.0500030517578,12.6999996602535
34,Canada,20,2009,1,2,10.0,11.0,2009.0,10.0,11.0,2009.0,1.0,200,quebec separatists,"1. quebec separatists hurl eggs at prince the times london , november 12, 2009 thursday, news; pg. 19, 447 words, james bone;","protesters hurled eggs and chanted majesty go home as the prince of wales and the duchess of cornwall ventured into the french speaking canadian province of quebec. about 200 separatists scuffled with riot police on tuesday night as they confronted the royal couple, who were visiting the montreal headquarters of the black watch royal highland regiment of canada, which the prince formally commands...the demonstration was organised by the qu becois network of resistance.","political behavior, process",arrests,CAN,"CAN,2009",44.5038113800647,-2.92840016684549,0.299466803009284,40876.3101540295,80.0500030517578,12.6999996602535
35,Canada,20,2010,1,1,12.0,2.0,2010.0,13.0,2.0,2010.0,1.0,1500,unspecified,"1. amid protest, torch takes a detour the new york times, february 13, 2010 saturday, section d; column 0; sports desk; rings; pg. 4, 176 words, by ian austen 2. small protest snarls traffic in downtown vancouver the new york times, february 14, 2010 sunday, section sp; column 0; sports desk; rings; pg. 8, 208 words, by ian austen;",the protests were against canada s decision to host the olympic games.,"political behavior, process",arrests,CAN,"CAN,2010",44.7585698632923,3.08949461982786,1.77687154092629,47562.0834253057,80.3199996948242,12.5499995425343
36,Canada,20,2011,1,1,3.0,7.0,2011.0,3.0,7.0,2011.0,0.0,300,quebec separatists,"1. royal couple turn deaf ear to protesters and chat to a friendly punk; royal visit ; demonstrations aside, the pair were made welcome in quebec, writes valentine low the times london , july 4, 2011 monday, news; pg. 4,5, 619 words, valentine low;","a crowd of about 300 protesters staged the noisiest demonstration of the duke and duchess of cambridge s tour of canada yesterday as the couple attended a military ceremony in quebec. blowing horns, whistles and vuvuzelas and shouting anti royal slogans, they were kept a safe distance from the duke and duchess by a squad of riot police. we have nothing against them, said julien gaudreau, a spokesman for the separatist movement, the resistance network of quebec. they are a sweet couple. they can be in love all they want. but more than 70 per cent of the population of quebec want to get rid of the monarchy.","political behavior, process",ignore,CAN,"CAN,2011",45.0540354196797,3.14688137207058,2.91213508872355,50000.0,80.9599990844727,12.3100000396371
37,Canada,20,2012,1,1,10.0,2.0,2012.0,6.0,6.0,2012.0,1.0,1000,university students,"1. quebec plans to suspend classes over student strike the new york times, may 17, 2012 thursday, section a; column 0; foreign desk; pg. 6, 551 words, by ian austen 2. canada: quebec seeks to end protests the new york times, may 18, 2012 friday, section a; column 0; foreign desk; world briefing the americas; pg. 10, 89 words, by ian austen 3. students riot over tuition fees the times london , may 18, 2012 friday, news; pg. 30, 41 words 4. canada: talks over tuition increases and student strike collapse in quebec the new york times, june 1, 2012 friday, section a; column 0; foreign desk; world briefing the americas; pg. 5, 138 words, by ian austen 5. law increases draw of canada protests the new york times, june 6, 2012 wednesday, section a; column 0; foreign desk; pg. 4, 1108 words, by ian austen;",protests were part of a long student strike against the quebec government s plan to raise tuition by 75 percent,"price increases, tax policy",crowd dispersal-arrests,CAN,"CAN,2012",45.1754615154561,1.76222254945881,1.51567823124521,50000.0,81.129997253418,12.2500000745058
38,Canada,20,2013,0,0,,,,,,,,nan,,,,,,CAN,"CAN,2013",45.3103663961706,2.3291225062102,0.93829189781521,50000.0,81.2600021362305,12.109999999404
39,Canada,20,2014,0,0,,,,,,,,nan,,,,,,CAN,"CAN,2014",45.4714400181616,2.87003607545671,1.90663590717873,50000.0,81.4199981689453,12.1200004592538
40,Canada,20,2015,1,1,6.0,10.0,2015.0,6.0,10.0,2015.0,0.0,75.0,protesters,"agreement shakes up canadian campaign the new york times, october 7, 2015 wednesday, section a; column 0; foreign desk; pg. 12, 837 words, by ian austen;","while campaigning on tuesday in whitby, an ontario city adjacent to the general motors of canada headquarters in oshawa, mr. harper offered the auto industry a billion canadian dollars spread over 10 years to encourage construction of auto assembly plants. as autoworkers held a protest against the agreement outside the factory hosting his campaign stop, mr. harper insisted the pact would expand the industry. we believe that this deal offers enormous benefits for the automobile sector, he said. mr. harper is a canadian politician in government.","political behavior, process",ignore-.,CAN,"CAN,2015",45.753071430484,0.659176863558869,1.12524136094279,43596.1355365546,81.5199966430664,11.900000423193
41,Canada,20,2016,1,1,2.0,2.0,2016.0,2.0,2.0,2016.0,0.0,750.0,taxi drivers against uber,"taxi drivers of the world unite; anti uber demonstrations clog city streets from u.s. to africa. the toronto star, february 11, 2016 thursday, news; pg. a6, 366 words, oliver sachgau;","ottawa: taxi drivers from toronto were among those who drove to ottawa for a feb. 2 protest at parliament hill, calling on the federal government to step in with regulations. also attending were brampton east mp raj grewal and unifor canada president jerry dias.",labor wage dispute,ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
42,Canada,20,2016,1,2,10.0,2.0,2016.0,10.0,2.0,2016.0,0.0,750.0,taxi drivers against uber,"cabbies right to back down. the toronto star, february 11, 2016 thursday, editorial; pg. a20, 618 words;","taxi drivers who were threatening to block afternoon rush hour routes on the eve of the city s nba all star weekend have backed away from such reckless action. they were right to drop their ill conceived protest against uber, not just for the sake of stressed commuters but for their own. it was a different story in montreal, where taxi and limousine drivers targeted airport traffic on wednesday morning. hundreds of cabs slowed movement to pierre elliot trudeau international airport. and as far away as london, england, thousands of black cabs brought the city to a standstill in a protest against uber. this issue goes far beyond toronto.",labor wage dispute,ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
43,Canada,20,2016,1,3,25.0,2.0,2016.0,25.0,2.0,2016.0,0.0,750.0,canadian union of public employees,"mulcair joins rally for inside workers; as demonstrations continued, outside city workers were voting on four year contract. the toronto star, february 26, 2016 friday, greater toronto; pg. gt2, 532 words, david rider;","more than 200 people including federal ndp leader thomas mulcair and some toronto councillors rallied in front of city hall demanding a fair contract for more than 28,000 city inside workers. flag waving cupe local 79 members chanted work to rule! and no free work on thursday as provincial and national union leaders pledged solidarity with their fight for full time permanent jobs rather than precarious work. but as they talked of unity, 5,400 outside city workers in another cupe local were voting on a proposed four year contract that was 6negotiated by their union leaders. mayor john tory has said that deal should also be good enough for the inside workers.",labor wage dispute,ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
44,Canada,20,2016,1,4,20.0,3.0,2016.0,4.0,4.0,2016.0,0.0,750.0,black lives matter,"1. police, demonstrators clash at andrew loku protest, while victim s uncle calls for video. thestar.com, march 21, 2016 monday, news toronto star, 1019 words, wendy gillischristopher reynolds; 2. police must name the officer who killed andrew loku: cole. thestar.com, march 24, 2016 thursday, opinion editorial coverage t, 749 words, desmond cole; 3. black lives matter ends tent city for now. the toronto star, april 5, 2016 tuesday, greater toronto; pg. gt1, 645 words, sarah joyce batters;","ontario s special investigations unit, the civilian watchdog that probes deaths involving police, announced friday that the unnamed officer who shot loku last july had used justifiable force against loku. the siu ruling prompted demonstrations by black lives matter protesters outside city hall and police headquarters downtown beginning sunday and throughout the day monday. the protest at police headquarters became the scene of a confrontation in the evening, as officers pushed their way past demonstrators to extinguish their fire and dismantle their tents. pascale diverlus, the co founder of black lives matter toronto told the star that moments before police came out, protestors were not causing any harm, before officers violently shut them down. not commenting on any allegations of violence, sgt. caroline de. kloet told the star, all tents have been taken down, or are no longer there.",police brutality,crowd dispersal,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
45,Canada,20,2016,1,5,24.0,3.0,2016.0,24.0,3.0,2016.0,0.0,75.0,women,"1. in toronto, former star radio host is acquitted of sexual assault charges. the washington post, march 25, 2016 friday, a section; pg. a04, 732 words, rob gillies; 2. reactions to verdict. the toronto star, march 25, 2016 friday, greater toronto; pg. gt3, 716 words;","ghomeshi, who first gained fame as a member of the 1990s satirical pop band moxy fruvous, defended himself in a 1,500 word statement on facebook, saying women consented to having rough sex with him and that he was the victim of a disgruntled ex girlfriend. the cbc fired him. he faces another sex assault trial in june based on allegations from a fourth complainant. ghomeshi and his lawyer declined to comment after the verdict. dozens of women gathered outside the courthouse to protest the verdict, some chanting ghomeshi guilty. a topless protester who jumped in front of the prosecutor while he was talking to the media was arrested.","political behavior, process",arrests,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
46,Canada,20,2016,1,6,12.0,4.0,2016.0,12.0,4.0,2016.0,0.0,750.0,ontario autism coalition,"1. shame on you all! the toronto star, april 13, 2016 wednesday, news; pg. a3, 349 words, andrea gordon; 2. school boards urge province to reconsider autism program reforms. the toronto star, may 5, 2016 thursday, news; pg. a18, 552 words; 3. province hits restart on autism program. the toronto star, june 29, 2016 wednesday, news; pg. a1, 965 words, andrea gordon;","more than 200 parents arrived at queen s park on tuesday bringing anger and heartbreak as they protested against changes to autism services for children. in the legislature, families heckled and opposition leaders blasted premier kathleen wynne for taking away the therapy many children have waited half their lives to get. a cabinet minister broke down in tears. and a distraught mother who stood up and yelled liar from the public gallery was ejected. a new rule that kids 5 and over are no longer eligible for intensive treatment funded by the province leaves a whole generation behind, kristen ellison of cobourg told a news conference watched by overflow crowds who came from all over ontario.","political behavior, process",accomodation,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
47,Canada,20,2016,1,7,14.0,4.0,2016.0,14.0,4.0,2016.0,0.0,75.0,aboriginal activists,"standing up for attawapiskat. the toronto star, april 14, 2016 thursday, news; pg. a9, 644 words;","a group of aboriginal activists and their supporters occupied the lobby of the toronto office of indigenous and northern affairs canada at st. clair ave. east and yonge st. on wednesday, in response to the ongoing suicide crisis in attawapiskat, ont. the demonstrators, who hung an attawapiskat flag from behind the reception desk, were there to pressure the federal government to improve living conditions in the remote northern ontario first nation. according to reports cited by the assembly of first nations, since last september there have been more than 100 suicide attempts in the community of 2,000 residents. some have involved children as young as 9 years old. local leaders declared a state of emergency last saturday. the protesters said they were not part of the idle no more indigenous rights movement that caught national attention in 2012, but were grassroots activists supportive of idle no more s aims.","political behavior, process",ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
48,Canada,20,2016,1,8,23.0,4.0,2016.0,23.0,4.0,2016.0,0.0,750.0,concerned ontario doctors,"doctors protest cuts to health care. the toronto star, april 24, 2016 sunday, news; pg. a2, 761 words;","ontario doctors many dressed in scrubs and lab coats gathered saturday along with family, patients and supporters to rally at queen s park and march through downtown toronto streets in protest of health care and fee cuts. it is hardly rare for a group to gather on a weekend afternoon on the south lawn of the ontario legislature in protest, but to see doctors general practitioners and specialists alike, toting placards, chanting and marching was something to behold. not since the 1980s have physicians gathered there in protest. don smallman, 44, an ophthalmologist from kingston, who brought his young daughters to the protest, told the star he made the trip because he was frustrated and disappointed by the continuing cuts to health care services for the last four years, and i m fed up and i want to see some changes to our health care system to allow for appropriate funding.","political behavior, process",ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
49,Canada,20,2016,1,9,30.0,7.0,2016.0,30.0,7.0,2016.0,0.0,750.0,black lives matter,"1. digest. the washington post, july 31, 2016 sunday, a section; pg. a11, 631 words; 2. black lives matter protests death of abdirahman abdi across canada. alex migdal the globe and mail wednesday, aug. 24, 2016;","hundreds protest death of man by police in canada: more than 500 people rallied in canada s capital on saturday to protest the death of a mentally ill black man after an arrest, marching against what they see as race based police brutality in a country that prides itself on being tolerant. abdirahman abdi, 37, died monday; witnesses told local media he was beaten by ottawa police officers who responded to calls of a disturbance.",police brutality,ignore,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
50,Canada,20,2016,1,10,13.0,10.0,2016.0,11.0,11.0,2016.0,0.0,750.0,indigenous residents,"1. protests against muskrat falls hydro project escalate as flooding set to begin. toronto star by sue bailey; 2. canada s clean energy might not be so clean. the new york times, november 11, 2016 friday, section a; column 0; foreign desk; pg. 8, 1387 words, by ian austen mon., oct. 17, 2016 ;","protests. hunger strikes. sit ins that disrupt construction. at the immense muskrat falls hydroelectric dam project in a remote and rugged part of labrador, the indigenous people who live nearby have been raising louder and louder alarms. but it is not about the dam itself. the controversy is over what will flow from it. the protests are focused on a mostly overlooked side effect of hydroelectric projects all over canada: the reservoirs behind the dams tend to develop high levels of methyl mercury, leading to mercury poisoning among people who eat fish or game caught downstream.","political behavior, process",arrests,CAN,"CAN,2016",45.8616180285253,1.00139441390405,1.4287595470108,42315.6037056806,81.4300003051758,12.1799996942282
51,Canada,20,2017,1,1,1.0,10.0,2017.0,26.0,10.0,2017.0,0.0,75.0,muslim council of montreal,"behind quebec s ban on face coverings, a debate over identity, the new york times october 26, 2017 thursday, catherine porter, 1282 words ;","they came to the metro station in scarves and face masks, protesting quebec s new law requiring people to show their faces before gaining access to public services. the provincial justice minister, st phanie vall e, who has said that the goal of the law is to ensure identification, communication and security, held a news conference on tuesday to address the confusion and increasing protests the law has drawn.",social restrictions,ignore,CAN,"CAN,2017",45.94116424563,3.03988022528195,1.5968841285297,45129.3564395662,81.6999969482422,12.0700002685189
52,Canada,20,2018,1,1,9.0,2.0,2018.0,9.0,2.0,2018.0,0.0,750.0,indigenous,"trudeau to meet with family of fatally shot cree man, the new york times february 13, 2018 tuesday, ian austen, 867 words. ;","after widespread protests over the acquittal on murder charges of a saskatchewan farmer who shot and killed a 22 year old cree man, members of the victim s family began a series of meetings on monday with government officials, including prime minister justin trudeau. indigenous leaders and supporters across the country had expressed anger and disbelief on friday night over the verdict in the case involving the death of colten boushie, who was killed in 2016. many of them, including mr. boushie s family, said the case revealed significant flaws in how canada s legal system dealt with cases involving indigenous people.","political behavior, process",accomodation,CAN,"CAN,2018",45.9246924431336,2.42954754483338,2.268225672481,46454.7433947203,81.75,11.8799997344613
53,Canada,20,2018,1,2,17.0,3.0,2018.0,25.0,3.0,2018.0,0.0,3500.0,march for our lives,"after a rash of shootings, canada aims to tighten gun laws, the washington post, march 25, 2018 sunday, alan freeman, 1007 words ;","in a scene more common in canada s neighbor to the south, a shootout at a toronto bowling alley last weekend left a suspected gang member dead. a 29 year old woman was caught in the crossfire and later died at a hospital. for a country proud of its largely peaceful streets and much lower levels of gun violence than in the united states, a recent rash of gang related shootouts has captured public attention and reignited calls for stricter gun controls. prime minister justin trudeau s government is heeding those calls, announcing last week a proposed law that would require more detailed background checks for gun owners and force retailers to maintain records of gun sales for at least 20 years. the move comes as the united states is grappling with the fallout from the school shooting last month in parkland, fla., that left 17 dead and prompted a renewed wave of legislative efforts to tighten gun laws. it also sparked the march for our lives, which attracted hundreds of thousands of teens and adults at protests against gun violence in washington and in cities across the country saturday. similar marches also took place in canada.",social restrictions,accomodation,CAN,"CAN,2018",45.9246924431336,2.42954754483338,2.268225672481,46454.7433947203,81.75,11.8799997344613
54,Canada,20,2019,1,1,7.0,1.0,2019.0,8.0,1.0,2019.0,0.0,750.0,residents; activists,"for trudeau, tension over pipeline, indigenous rights, the washington post january 10, 2019 thursday, regional edition, section: a section; pg. a14 length: 691 words byline: emily rauhala","the pictures emerging from the scene of an anti pipeline action in british columbia could not be more off brand for justin trudeau. the canadian prime minister came to power on a promise to rebuild the relationship between canadian authorities and indigenous communities. in photographs and video circulated monday and tuesday, armed officers in tactical gear faced off with locals brandishing feathers as police advanced on a remote, snowy checkpoint set up to stop the construction of a natural gas pipeline that would run through the traditional territory of the wet suwet en first nation. by the time darkness fell monday, the royal canadian mounted police had arrested 14 people. on tuesday, outrage over the arrests spurred small scale protests in other canadian cities, according to local media reports.",land farm issue-.,arrests-.,CAN,"CAN,2019",45.7826409029844,1.86141537933875,1.94926902411596,46326.6726375572,81.7799987792969,12.190000385046
55,Canada,20,2019,1,2,8.0,1.0,2019.0,8.0,1.0,2019.0,0.0,75.0,pro pipeline demonstrators,"for trudeau, tension over pipeline, indigenous rights, the washington post january 10, 2019 thursday, regional edition, section: a section; pg. a14 length: 691 words byline: emily rauhala","the pictures emerging from the scene of an anti pipeline action in british columbia could not be more off brand for justin trudeau. the canadian prime minister came to power on a promise to rebuild the relationship between canadian authorities and indigenous communities. in photographs and video circulated monday and tuesday, armed officers in tactical gear faced off with locals brandishing feathers as police advanced on a remote, snowy checkpoint set up to stop the construction of a natural gas pipeline that would run through the traditional territory of the wet suwet en first nation. by the time darkness fell monday, the royal canadian mounted police had arrested 14 people. on tuesday, outrage over the arrests spurred small scale protests in other canadian cities, according to local media reports. there was also a pro pipeline demonstration in calgary, alberta.",land farm issue-.,ignore-.,CAN,"CAN,2019",45.7826409029844,1.86141537933875,1.94926902411596,46326.6726375572,81.7799987792969,12.190000385046
56,Canada,20,2019,1,3,26.0,1.0,2019.0,26.0,1.0,2019.0,0.0,75.0,wet suwet en tribe,"the nation has stood up : indigenous clans in canada battle pipeline project; canada dispatch, the new york times january 27, 2019 sunday 13:02 est, length: 1346 words byline: amber bracken.","amid vast forests of spruce, pine and poplar trees, deep in the interior of british columbia, the royal canadian mounted police arrived at a small bridge this month to clear a group of first nations people who had set up a blockade across a narrow, gravel logging road. dozens of officers, some equipped in military style tactical uniforms and carrying semiautomatic rifles, stared across a plywood and barbed wire roadblock as the wet suwet en people and their supporters gathered behind it. a helicopter circled overhead, and police boats were deployed on the pristine morice river running nearby the protest site. you re trespassing on wet suwet en land, molly wickham yelled at the police. she is the spokeswoman for the gitdumden checkpoint, as the blockade and surrounding encampment is known, after one of the clans of the wet suwet en people who claim this part of the province. but the officers ignored her and started to systemically dismantle the blockade, cutting the wire and pushing against the wooden structure, testing for weak spots. three protesters had locked their arms to it, and the pressure hurt, causing them to cry out. you re going to break their arms, other protesters shouted. stop! the police kept going, and the arrests began. the first person taken into custody was pulled over the top of the barricade and disappeared in a crush of uniforms. the second was tackled, his face pressed to the ground, after the officers breached the barricade. fourteen were arrested in total, including ms. wickham. other protesters scattered, setting fire to felled trees to cover their retreat. some were headed to another blockade and encampment further down the same road, the unist ot en checkpoint, named after another wet suwet en clan.",land farm issue-.,crowd dispersal-arrests-.,CAN,"CAN,2019",45.7826409029844,1.86141537933875,1.94926902411596,46326.6726375572,81.7799987792969,12.190000385046
